from_region,to_canada,to_mexico,to_us,to_s_cent_america,to_europe,to_russia,to_other_cis,to_middle_east,to_africa,to_australasia,to_china,to_india,to_japan,to_singapore,to_other_asia_pacific,total_exports
Canada,0,0,188.9,0.3,6.3,0,0,0,0,0,4.0,0.2,0,0,0.5,200.3
Mexico,0,0,31.7,0.1,6.1,0,0,0.1,0,0,0,5.1,0.6,0,5.7,49.4
US,16.8,0,0,10.6,77.7,0,0,0,0,1.1,7.9,16.9,1.3,10.6,30.0,172.9
S. & Cent. America,0.6,0,35.1,0,22.8,0,0,2.6,0.6,0,37.3,6.9,2.8,3.5,5.0,117.2
Europe,0.3,0,2.9,0.6,0,0,0.1,0.1,0.2,0,8.2,4.2,0,0.8,2.1,19.6
Russia,0,0,1.0,0.7,116.9,0,15.9,0,0,0.4,86.2,37.0,1.9,0.1,4.4,264.7
Other CIS,0,0,1.1,0.3,62.7,0,0,3.8,0.7,0.2,6.0,0.8,0.1,0.2,9.7,85.7
Iraq,0,0,12.2,0,53.4,0,0,0.2,1.3,0,55.5,52.4,0,1.3,14.7,191.0
Kuwait,0,0,1.3,0,0,0,0,0,3.2,0,33.3,11.7,11.2,0,29.6,90.3
Saudi Arabia,4.0,0,22.7,4.7,38.8,0,0.1,11.7,5.4,0,87.5,40.2,52.5,5.3,91.9,364.8
UAE,0,0,0.6,0,1.5,0,0,0,0.1,1.2,42.8,22.5,49.2,12.4,42.6,172.9
Other Middle East,0,0,0.1,0,0.6,0,0,1.6,0,0,48.7,7.2,11.5,4.5,18.1,92.2
North Africa,0,0,4.8,1.1,54.1,0,0.1,0.3,0,1.1,3.9,4.0,0.1,0.6,6.5,76.5
West Africa,2.0,0,10.0,6.0,59.5,0,0,1.3,4.1,0.5,46.5,19.4,0.1,1.0,19.3,169.7
East & S. Africa,0,0,0,0,0.7,0,0,0,0,0,0.4,0,0.1,0.1,0.3,1.7
Australasia,0,0,0.1,0,0,0,0,0.2,0,0,2.0,0,0.3,2.5,3.8,8.9
China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,1.3
India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4
Singapore,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.4,0.5
Other Asia Pacific,0,0,0.2,0,0.1,0,0,0.2,0.1,5.8,37.9,2.5,0.8,1.4,0,49.0
Total imports,23.7,0,312.6,24.4,501.3,0.1,16.2,22.2,15.8,10.3,508.2,231.2,132.5,44.4,286.3,2129.1
