from_region,to_canada,to_mexico,to_us,to_s_cent_america,to_europe,to_russia,to_other_cis,to_middle_east,to_africa,to_australasia,to_china,to_india,to_japan,to_singapore,to_other_asia_pacific,total_exports
Canada,0,0,192.9,0,6.7,0,0,0,0,0,7.5,0,0,0,0.1,207.2
Mexico,0,0,36.5,0,8.0,0,0,0,0,0,1.6,3.4,0,0,4.3,53.8
US,16.9,0,0,9.6,80.4,0,0,0.1,0.7,1.4,14.3,11.3,2.4,11.6,36.5,185.0
S. & Cent. America,0.6,0,42.9,0,18.2,7.6,0,2.9,1.0,0,52.1,7.0,1.9,2.5,4.5,141.2
Europe,0.2,0,2.3,0.1,0,0,0,0,0.3,0,3.1,5.1,0,0.2,0.8,12.1
Russian Federation,0,0,0,0.3,32.4,0,18.0,0,0,0,107.0,81.8,0.1,0.3,0.9,240.8
Other CIS,0,0,1.6,0.1,72.7,0,0,2.4,0.8,0,6.4,0.4,0,0.1,6.7,91.4
Iraq,0,0,10.6,0,49.2,0,0,0.3,0.3,0,59.3,48.8,0,0.9,14.8,184.2
Kuwait,0,0,1.1,0,3.4,0,0,0,1.7,0,24.5,8.1,11.5,0.1,30.8,81.1
Saudi Arabia,2.5,0,17.4,3.2,40.7,0,0,11.7,2.9,0,85.9,35.3,51.4,4.9,93.3,349.1
UAE,0,0,0.8,0,5.4,0,0,0,0.1,0,41.8,13.2,48.6,11.1,49.7,170.7
Other Middle East,0,0,0.4,0,1.8,0,0,3.6,0,0,49.6,3.2,8.2,5.5,17.6,90.0
North Africa,0,0,5.1,1.9,56.5,0,0,1.6,0.3,0.6,3.5,2.2,0,0.2,3.7,75.6
West Africa,4.8,0,11.9,5.4,56.9,0,0,0.3,4.5,0.2,48.1,9.3,0,1.2,16.0,158.6
East & S. Africa,0,0,0,0,1.1,0,0,0,0,0,0.7,0.1,0,0.5,0.8,3.2
Australasia,0,0,0.1,0,0.1,0,0,0.2,0,0,2.0,0,0.5,1.5,5.6,10.0
China,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0.8,1.2
India,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,1.9
Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore,0,0,0,0,0.1,0,0,0,0,0,0.3,0,0,0,1.6,2.0
Other Asia Pacific,0,0,0,0,0.7,0,0,0,0,6.1,56.2,2.0,1.0,1.9,0,67.9
Total imports,25.0,0,323.8,20.7,436.6,7.7,18.0,23.2,12.4,8.4,563.9,231.0,125.5,42.3,288.5,2127.1
